degrees , closeness , betweenness
1870884, 5, 1.57626771330843e-05, 9974.07395378518 
1896175, 1, 1.60133230848066e-05, 0 
1911586, 36, 1.72675783948059e-05, 70878.358627144 
1927128, 21, 1.73891874032726e-05, 13152.488667837 
197482, 5, 1.46825629881952e-05, 2948.24761551363 
198832, 16, 1.68036161381929e-05, 20370.67579991 
202747, 1, 1.47294928635607e-05, 0 
2269374, 43, 1.74568815026884e-05, 47145.1502440574 
2579250, 11, 1.59086208816558e-05, 4181.44900947736 
2593672, 29, 1.68089827203658e-05, 232417.769270222 
260714, 1, 1.4425226836692e-05, 0 
2675713, 1, 1.45076818175224e-05, 0 
2704653, 7, 1.74626735353183e-05, 222.220982338054 
2734194, 4, 1.56137775973519e-05, 18645.4203367545 
2751177, 15, 1.62048290390536e-05, 28027.4186297088 
2761623, 5, 1.65453342157512e-05, 18846.5633502942 
2792084, 2, 1.36597093213856e-05, 54.4996604730681 
2834378, 12, 1.63065633917652e-05, 23440.6442058223 
2864103, 4, 1.49436623927792e-05, 27564.5152507616 
2892396, 6, 1.42454200974387e-05, 10384.5258273749 
2956212, 6, 1.60330923025124e-05, 733.650602352052 
3004105, 2, 1.62755118648482e-05, 31.3748854094035 
3047866, 2, 1.30208333333333e-05, 16.2714981623966 
3050323, 2, 1.40303617027247e-05, 19218 
334715, 6, 1.55151816052007e-05, 598.411015502135 
33926, 4, 1.51244744245137e-05, 16706.5954870245 
33941, 4, 1.54916267757277e-05, 9258.98783345342 
39766, 28, 1.65991634021645e-05, 65896.7917375246 
43990, 2, 1.32234902080055e-05, 767.625833300214 
46124, 29, 1.77980279785e-05, 8070.33721635763 
468911, 1, 1.63674157487274e-05, 0 
589873, 2, 1.57430730478589e-05, 23.8745169155197 
59754, 3, 1.57935467567952e-05, 3826.76599477633 
785, 2, 1.33154019254071e-05, 0 
841, 4, 1.56641604010025e-05, 794.895731074199 
877500, 41, 1.64271047227926e-05, 114973.157888537 
938288, 15, 1.59159637116027e-05, 12647.9411761093 
1054034, 8, 1.46582430629865e-05, 11291.562404986 
1070130, 18, 1.60547144669032e-05, 42542.8988893212 
129728, 7, 1.54726907009129e-05, 8349.68503021699 
151781, 14, 1.61004669135405e-05, 18490.1442581538 
1605, 3, 1.48029724368653e-05, 1089.89529093987 
1623281, 20, 1.64698519360311e-05, 8001.59781647754 
1643949, 6, 1.47555739180475e-05, 30802.9771129257 
1712675, 1, 9.51366161808357e-06, 0 
1750535, 4, 1.40081527448975e-05, 1917.18468106374 
1758179, 3, 1.40777655770476e-05, 9670.07078061511 
1778263, 4, 1.51703631784945e-05, 252.069136635193 
189779, 1, 1.30476762088672e-05, 0 
189834, 2, 1.54928268211818e-05, 11.7283188280199 
191301, 3, 1.40103115893297e-05, 9729.65606873793 
2003316, 12, 1.54774802662127e-05, 39570.8202006503 
2026186, 4, 1.63711671005026e-05, 1521.69698509647 
2039240, 9, 1.46625416049618e-05, 34625.5097586632 
2058135, 2, 1.63759927945632e-05, 0 
208596, 3, 1.45981139236811e-05, 18421.6150546416 
213419, 2, 1.5161163164438e-05, 12.4487827823718 
214473, 11, 1.7612765732603e-05, 7673.22309983603 
2148, 4, 1.64899493758554e-05, 1376.55963036199 
2187, 6, 1.48880419247261e-05, 24231.8054595691 
2261, 3, 1.29915684720616e-05, 29046.6707511903 
2268451, 5, 1.63283967147266e-05, 88.3960302655833 
2382161, 5, 1.53043265331109e-05, 1507.07288839475 
240426, 1, 1.48749758281643e-05, 0 
2601668, 5, 1.40110967886566e-05, 6939.12165209618 
2675726, 2, 1.34019513241128e-05, 57.1491358437869 
2682810, 6, 1.38381490091885e-05, 1243.32606339546 
2709304, 3, 1.35233819273524e-05, 10126.5144438497 
2714929, 10, 1.52084315544538e-05, 2719.38545483738 
2714930, 3, 1.44104677637836e-05, 703.550139305018 
2738852, 17, 1.75112947851364e-05, 4973.20259193286 
2751179, 14, 1.73774024258854e-05, 3974.06798349125 
2773264, 2, 1.59856768335571e-05, 0 
