"","X1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","X3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561","nodos","degrees","closeness","betweenness"
"Phycisphaera",0.000204614429930005,0.000281337503040725,0.000302864939314457,0.000305764936758016,0.000327276334750508,0.000244505283228625,0.000221704621008663,"v_1426",86,0.000112460638776428,6548.63788475238
"Haematospirillum",1.49814033474763e-05,2.1544991328141e-05,2.36754736841288e-05,2.53540025518695e-05,2.7869625381098e-05,1.52511590069613e-05,1.37822808344078e-05,"v_212",85,0.000131527028804419,22656.5468300966
"Edwardsiella",0.0001124590869702,0.000152485093663509,0.000156930872015564,0.000153857622323311,0.000200865850453124,0.000145129380124754,0.000124278153041298,"v_480",85,0.000122129946262824,3850.95188220015
"Zymobacter",1.21231092877604e-05,1.60334819186166e-05,1.83711325854989e-05,2.18867885276822e-05,1.95854431577257e-05,1.40343112138527e-05,1.09307744548751e-05,"v_530",85,0.000126919659855312,7569.78654245155
"Hydrocarboniclastica",2.8780064325415e-05,3.79960118383882e-05,3.51897750933499e-05,5.2224911239321e-05,4.56652760831568e-05,2.80686224277054e-05,2.85150637953265e-05,"v_591",85,0.000133084908171413,11410.6344266576
"Ahniella",9.11204433864595e-05,0.00010480218649929,9.84537457574974e-05,0.000121569191723067,9.86431327708953e-05,7.89328601796457e-05,9.2673957334811e-05,"v_417",84,0.000128172263522174,12621.6026579188
"Kluyvera",3.86855316702924e-05,4.38415521212171e-05,4.4634089732374e-05,4.4857081437923e-05,4.6074371501595e-05,3.60186946760151e-05,3.32675744278809e-05,"v_438",84,0.000133761369716426,17409.8237475656
"Alkalilimnicola",0.000101223034459593,0.000151483001043596,0.000138689113603203,0.000194380686231,0.000181331544222703,0.000118520975048779,0.00014281294450826,"v_501",84,0.000122189638318671,5283.20493099225
"Ferrimonas",3.58765185426406e-05,4.8350968910828e-05,4.02353678457053e-05,6.04595445467658e-05,5.1546022723205e-05,3.82901438898178e-05,3.94458382502016e-05,"v_603",84,0.000133226751931788,9255.08633386965
"Megalodesulfovibrio",5.28291591726796e-05,7.34032844086664e-05,7.84007489212135e-05,7.80123155442139e-05,9.00521289836945e-05,7.04960488140926e-05,5.84558807804193e-05,"v_714",84,0.000130701869036727,8047.99457739629
"Saccharospirillum",2.90264689857353e-05,3.31525641754728e-05,3.1955420764917e-05,3.96562604016421e-05,3.84038324058799e-05,3.01778252690937e-05,2.75645616688156e-05,"v_545",83,0.000134661998384056,22056.0966607577
"Desulfosarcina",0.000178150569411601,0.00024584672275212,0.000275178866263071,0.0002999140130922,0.000319912617218622,0.000226495935890617,0.000196753940187753,"v_721",83,0.000113301608882846,4835.14184488927
"Desulfonema",1.97616537576908e-05,2.22965607930761e-05,2.53573379349139e-05,3.57556446244314e-05,2.55173267250787e-05,1.8171593710422e-05,1.42575318976632e-05,"v_725",83,0.000131475151196424,17794.3780921005
"Desulfosudis",3.75520702328189e-05,5.11902313339164e-05,5.34315335057115e-05,6.76106734716521e-05,6.69893747692446e-05,4.8755034910552e-05,4.32478467562452e-05,"v_732",83,0.00013374348000535,10455.0361753922
"Hydrogenophilus",4.45006816538523e-05,5.84554028282895e-05,5.70540103535563e-05,7.04277848663042e-05,7.06712335351878e-05,5.60561216692037e-05,4.70498552622887e-05,"v_772",83,0.00013331555792561,10077.2816316547
"Mariprofundus",2.29649143418551e-05,3.38206259220818e-05,3.36372850157021e-05,3.61890463774548e-05,3.59492598952511e-05,2.62027891449389e-05,2.97031914534651e-05,"v_773",83,0.000133958472873409,22722.566342149
"Moorena",2.54289609450585e-05,4.27559517829775e-05,5.55015202759085e-05,5.87259375346721e-05,5.29778566877385e-05,3.85335134484396e-05,3.11289446432314e-05,"v_1327",83,0.000135098621994056,22725.8104942936
"Sulfuriroseicoccus",3.18354821133871e-05,3.74949655284314e-05,3.63541426515858e-05,3.92228586486187e-05,4.02958987161563e-05,3.34227527173834e-05,3.13665701748591e-05,"v_1444",83,0.000133976420150054,14802.539276125
"Rhodothermus",0.000214914144731395,0.000335617519952708,0.000374796979578804,0.000376842824253856,0.000403112397943477,0.000294071550001249,0.000311289446432314,"v_1615",83,0.000109457092819615,7144.81592226331
"Pararhodospirillum",8.54038552670277e-05,0.000129436963405498,0.000111649911417504,0.000142805877621214,0.000158268790008253,0.000102296337807331,0.000120476144535254,"v_211",82,0.000124146492861577,9235.70087978242
"Mycetohabitans",6.83033718407966e-05,9.83720921881786e-05,0.000105439951106912,0.000121569191723067,9.88988174074192e-05,7.81216283175733e-05,9.38620849929497e-05,"v_300",82,0.000128205128205128,5468.92663442032
"Methylovulum",1.49814033474763e-05,1.62840050735949e-05,1.57836491227525e-05,2.23201902807056e-05,1.87672523208494e-05,1.51700358207541e-05,1.0217897859992e-05,"v_574",82,0.00012748597654258,9273.27474435168
"Desulfomonile",2.17821719723175e-05,3.31525641754728e-05,3.36372850157021e-05,3.59723455009431e-05,3.5540164476813e-05,2.27144921380275e-05,1.99605446567285e-05,"v_741",82,0.000135372952484094,18645.5947121706
"Moorella",5.25334735802952e-05,8.70985502141514e-05,9.56075139484765e-05,8.9714162875846e-05,9.86942696982001e-05,8.49359759589815e-05,8.38818126645854e-05,"v_1223",82,0.000129684865776164,5754.12454843329
"Pikeienuella",0.000203382406628404,0.00022471927001561,0.000213208637330297,0.000248772606235438,0.000297412369204524,0.000194127784593928,0.000171328008303587,"v_119",81,0.000116225011622501,8246.89236877583
"Ruegeria",0.000212844345584704,0.000220209853225999,0.000220582965199124,0.000229702929102408,0.000259417632217082,0.000181310321173184,0.000193664808276592,"v_157",81,0.000116550116550117,6552.55847904414
"Sulfuricaulis",0.000165436088939072,0.000294197691662948,0.000236884111014425,0.000325918118273605,0.000283042892631885,0.000184879741366303,0.000209823344427277,"v_612",81,0.000113071008593397,6032.57116440774
"Sedimenticola",3.25746960943481e-05,4.79334303191974e-05,4.12703612308038e-05,5.0708005103739e-05,5.4409690652272e-05,3.29360136001399e-05,3.08913191116037e-05,"v_629",81,0.000133262260127932,9285.4472323825
"Bradymonas",0.000120491878896643,0.000168017529272169,0.000189274415299893,0.000183762343281926,0.000198513551797105,0.000156162133448939,0.000145664450887793,"v_737",81,0.000121065375302663,2933.28284823158
"Ndongobacter",1.06939622579025e-05,1.62840050735949e-05,1.81123842392242e-05,1.82028736269832e-05,1.8869526175459e-05,1.36286952828165e-05,1.33070297711524e-05,"v_1284",81,0.000127226463104326,7620.28942585041
"Meiothermus",0.000123202330160167,0.000193570891079964,0.000213596759849709,0.000202615319538444,0.000227047957233165,0.000174252603973154,0.000191288552960315,"v_1287",81,0.000118063754427391,8878.95491951395
"Ectothiorhodosinus",1.42421893665153e-05,1.70355745385301e-05,1.63011458153018e-05,2.16700876511705e-05,1.93808954485066e-05,1.59001444966193e-05,1.37822808344078e-05,"v_502",80,0.000127534753220253,10822.216189954
"Congregibacter",3.35603147356295e-05,4.18373668813901e-05,3.62247684784485e-05,5.63422278930434e-05,4.78641639572618e-05,3.2611520855311e-05,3.231707230137e-05,"v_561",80,0.000133120340788072,13095.0853954311
"Candidatus_Methylospira",3.40038431242061e-05,4.79334303191974e-05,3.95884969800187e-05,5.2224911239321e-05,4.9142587139881e-05,3.06645643863372e-05,3.0653693579976e-05,"v_572",80,0.000132819763580821,10478.8165625875
