degrees , closeness , betweenness
1014, 2, 2.56640574874888e-05, 4201 
1196083, 5, 2.97760838494521e-05, 14732.9046056063 
2547600, 4, 3.41880341880342e-05, 666.507489671963 
28087, 1, 2.60633861551293e-05, 0 
33024, 7, 3.29012305060209e-05, 13450.5999995039 
573501, 1, 3.14901121047991e-05, 0 
996, 3, 3.01650025640252e-05, 4222.88024750867 
1147, 1, 3.02041802585478e-05, 0 
1441386, 2, 3.29348219872872e-05, 262.587739550587 
1496, 2, 3.01759256465192e-05, 4201 
2352, 3, 3.32811927979499e-05, 10165.7438844262 
2497989, 4, 3.0265427801822e-05, 99.7934846088581 
2529032, 4, 3.22113061684651e-05, 224.415580579433 
2719912, 4, 3.12900904283613e-05, 16443.7284976676 
28116, 2, 2.94559486288256e-05, 117.050089162071 
28128, 3, 3.2121289991006e-05, 12629.1111035354 
2929510, 1, 3.25796572620056e-05, 0 
2966554, 1, 2.38891543239369e-05, 0 
3018314, 2, 3.00733790448695e-05, 1423.201548383 
33938, 2, 2.65540773785815e-05, 4201 
501783, 1, 3.25319626533069e-05, 0 
77095, 5, 3.25489047293559e-05, 22252.5290555099 
104268, 3, 2.9332394696703e-05, 4216.08903341389 
1617448, 1, 2.65667755904466e-05, 0 
213116, 1, 2.64354446441789e-05, 0 
225848, 1, 3.00869512892259e-05, 0 
2918526, 3, 3.27653997378768e-05, 8400 
486, 3, 3.03554624654707e-05, 1182.18862112044 
750, 3, 2.90376909228178e-05, 8154.79774247147 
815, 3, 2.59888767607464e-05, 12632.9378465604 
1316596, 3, 3.29478435636388e-05, 4618.49809900336 
1455, 4, 3.13038034121146e-05, 4319.87378333223 
1624, 2, 2.78040371461936e-05, 588.098015545111 
2583851, 1, 3.26701297004149e-05, 0 
320324, 1, 3.17611561060823e-05, 0 
493, 6, 3.34168755221387e-05, 4925.55539146287 
70863, 1, 2.55636791246996e-05, 0 
104609, 5, 3.2309133792123e-05, 24359.5057264923 
1173263, 1, 2.47500247500248e-05, 0 
2594004, 2, 2.86278663651198e-05, 20985 
28229, 1, 2.67058352249967e-05, 0 
3028318, 1, 3.2183316168898e-05, 0 
3070815, 6, 3.25309043591412e-05, 25431.9300794159 
32052, 2, 3.24128095423311e-05, 4201 
393921, 1, 2.90790659804007e-05, 0 
104270, 2, 3.20245948888747e-05, 64.5406311189525 
1456591, 1, 2.8940209527117e-05, 0 
1578, 4, 3.02224371373308e-05, 10218.8140417283 
2207, 2, 2.99257840555423e-05, 441.875029579682 
2918453, 3, 3.27032507031199e-05, 838.650514697484 
3019969, 11, 3.30360092500826e-05, 20300.1636430481 
628, 7, 3.2492851572654e-05, 3430.62892219101 
718, 1, 2.95849235229727e-05, 0 
865, 2, 3.02233505606432e-05, 1435.85565846979 
2005460, 2, 2.95551943254027e-05, 43.477102686857 
29423, 1, 2.19038857493319e-05, 0 
2961619, 1, 2.76655784872462e-05, 0 
2715679, 6, 3.38902633273461e-05, 725.167678582961 
2896860, 13, 3.73329351153588e-05, 2819.51537861148 
46506, 10, 3.71167693563952e-05, 20120.0957265085 
2496866, 9, 3.69890882189754e-05, 29892.4065313219 
2856519, 7, 3.42313353643926e-05, 11080.8740671116 
387090, 8, 3.68459837877671e-05, 2218.52484815934 
