"","SRR17036901","SRR17036899","SRR17036897","SRR17036898","SRR17036900","SRR17036904","SRR17036902","SRR17036903","nodos","degrees","closeness","betweenness"
"29539",0.0106837119243274,0.00459832439126793,0.0105954024499814,0.0123016426916374,0.00938548283491542,0.00902073596126125,0.0104990092632139,0.0102942640771982,"v_94",8,0.0102040816326531,5.26697948864656
"37330",0.0054031303166067,0.00503927405760195,0.0186440890207901,0.0110701224740475,0.00595419616189012,0.0105395842823535,0.0059105792951182,0.0106247134555267,"v_8",7,0.0099009900990099,15.9715818450792
"443156",0.0121145737460098,0.0133930549372649,0.0172439431363894,0.012307226008686,0.0206006968550684,0.00694526779529868,0.0128329003965281,0.0102581553702948,"v_25",7,0.00934579439252336,0.311111111111111
"2951806",0.0129631179096064,0.00413944136529832,0.00685359279468805,0.00879611720180102,0.00708966764209074,0.00515434968456129,0.00756414116307131,0.00527515381762039,"v_97",7,0.00980392156862745,58.8834445281562
"582680",0.00341446057861584,0.0110648828951616,0.0180117145799875,0.00980350712072328,0.0238795059293239,0.0027843472509095,0.00403296387836693,0.00220810213730719,"v_17",6,0.00925925925925926,0
"339268",0.00748223255012031,0.00462047736493543,0.0184069486054891,0.0176735913091682,0.00768119421320478,0.0119635825850374,0.00498519146075912,0.0135801564054111,"v_13",5,0.00854700854700855,14.6666666666667
"2775496",0.00833584769477427,0.00479453644375149,0.0178027492635342,0.0181513637251891,0.00634025646515833,0.0147416897031569,0.00548931194555499,0.0164896428192365,"v_20",5,0.00854700854700855,14.6666666666667
"560555",0.00863503557715794,0.00436730052302116,0.0166624404018395,0.0165298089309144,0.00634674487361662,0.0145906784896383,0.00549748056452159,0.0165574834200854,"v_37",5,0.00854700854700855,14.6666666666667
"83451",0.0145444188359901,0.00864176953734042,0.0186292188297316,0.0144895053579903,0.0125712913879355,0.0172801757221394,0.0139496673038189,0.0149358742191492,"v_9",3,0.0062111801242236,0
"53360",0.0182817318752572,0.00369005247090049,0.00509186647507599,0.00386126254750805,0.0104593144347623,0.00303644861562654,0.00571803327661978,0.0030725226965107,"v_34",3,0.00735294117647059,2.23560460290511
"2591145",0.0150819428280692,0.00300331028720803,0.00449392826619833,0.00472428383988642,0.00542539087253954,0.00324861313048742,0.00553365587708796,0.00352880544738141,"v_58",2,0.00680272108843537,0
"2567884",0.00893760411357983,0.00180599480565513,0.0031016087981442,0.0185047079326971,0.00302143553874337,0.00217780634371899,0.00295820701147574,0.00222998620209715,"v_15",1,0.008,0
"2202249",0.00940075371681782,0.00471963829468519,0.00976345439234138,0.017440687226567,0.00942549468707487,0.00967594990421396,0.0101967703614497,0.00996928571506729,"v_28",1,0.0078740157480315,0
