"","1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561"
"Paucibacter","2401","1576","786","522","2197","1222","416"
"Candidatus_Ichthyocystis","42","36","26","15","73","28","11"
"Achromobacter","90822","60259","34023","22286","86179","42734","16773"
"Bordetella","138976","48206","27701","28672","82342","40371","17164"
"Pigmentiphaga","8094","6354","3554","2810","10433","5054","1951"
"Orrella","4486","3707","2040","1655","6037","3003","1195"
"Castellaniella","4869","4759","2505","2157","8166","3917","1515"
"Alcaligenes","2860","2408","1226","779","2996","1479","499"
"Pusillimonas_(ex_Stolz_et_al._2005)","2229","1614","900","710","2515","1116","391"
"Paralcaligenes","1080","772","463","311","1263","642","231"
"Kerstersia","1162","914","466","389","1510","720","234"
"Advenella","947","772","381","263","1028","518","167"
"Oligella","204","131","80","72","234","141","27"
"Paenalcaligenes","107","63","32","24","90","59","23"
"Basilea","42","27","0","14","56","20","0"
"Taylorella","34","38","16","0","36","19","0"
"Pelistega","23","32","23","0","35","22","16"
"Sutterella","2290","2081","1333","903","3397","1609","643"
"Turicimonas","153","139","57","65","221","87","23"
"Thauera","28443","33457","16195","13325","49448","21525","8468"
"Azoarcus","20392","21984","10693","8181","30552","15047","5435"
"Nitrogeniibacter","6147","6038","2941","2352","8893","4028","1491"
"Aromatoleum","19736","22315","11151","8326","31523","14079","5340"
"Azospira","14633","16563","8262","6971","25427","11318","4417"
"Niveibacterium","2955","2893","1485","1238","4220","2130","799"
"Oryzomicrobium","2515","2580","1239","1072","3990","1643","694"
"Rugosibacter","656","2234","333","230","899","446","179"
"Dechloromonas","5152","5541","2570","1929","7225","3444","1213"
"Ferribacterium","4485","4817","2122","1559","5829","3038","987"
"Quatrionicoccus","2146","2400","1053","831","3030","1460","561"
"Fluviibacter","362","396","138","161","458","189","76"
"Usitatibacter","36764","21982","13198","12654","43190","22429","22462"
"Nitrosospira","10214","4169","2348","1656","8705","6442","503"
"Nitrosomonas","8060","26129","4997","978","2329","6894","209"
"Denitratisoma","5770","6793","3172","2782","9784","4269","1813"
"Sulfuritalea","3839","4354","1884","1652","5997","2544","1156"
"Methyloversatilis","3334","4933","2552","1289","4669","2086","820"
"Sterolibacterium","2505","3178","1383","1158","4344","1841","694"
"Sideroxydans","3217","4230","1633","1376","4820","2557","863"
"Ferrigenium","2271","3399","1292","1061","3655","2989","663"
"Ferriphaselus","764","1039","326","279","897","565","174"
"Candidatus_Nitrotoga","615","870","284","205","837","365","94"
"Gallionella","519","856","286","174","563","294","101"
"Thiobacillus","4492","112955","3131","2032","7343","3436","1501"
"Sulfuritortus","3685","11112","2296","1852","6745","2855","1081"
"Sulfurimicrobium","2262","3976","1188","1027","3582","1630","639"
"Sulfuriferula","2256","6895","1200","957","3357","1478","1088"
"Sulfuricella","1205","1807","579","457","1703","674","262"
"Methylophilus","1686","1334","350","108","349","159","67"
"Methylovorus","1007","1733","454","257","767","387","204"
"Methylobacillus","737","1053","435","280","974","436","207"
"Methylotenera","218","3924","119","58","233","114","26"
"Candidatus_Methylopumilus","194","510","89","53","214","126","87"
"Methyloradius","172","479","78","44","158","69","44"
"Chromobacterium","15028","14571","7493","5542","22297","11276","4069"
"Iodobacter","291","294","147","120","335","193","58"
"Jeongeupia","4568","4973","2337","1822","6822","3549","1217"
"Paludibacterium","3794","4016","1887","1398","5583","2763","966"
"Pseudogulbenkiania","2959","3599","1616","1174","4949","2383","941"
"Vogesella","2768","2763","1306","1054","3702","2075","762"
"Aquitalea","2383","2255","1038","682","2732","1531","427"
"Microvirgula","1898","2026","925","769","2837","1483","490"
"Laribacter","2216","2649","1286","971","3751","1565","602"
"Aquaspirillum","932","1011","413","291","1259","726","233"
"Chitinibacter","448","439","198","172","571","302","95"
"Deefgea","346","374","173","103","428","232","94"
