"","SRR5829603","SRR5829609"
"29533",630,227
"1850246",629,259
"2906076",628,205
"2912855",451,628
"1303",627,545
"78587",420,627
"160798",625,203
"1556",624,250
"2949996",624,337
"1265445",623,421
"266805",161,623
"28132",623,416
"312277",623,220
"929813",524,623
"850",622,362
"2570586",621,183
"2689569",621,606
"2604158",208,620
"2931922",620,193
"2906078",619,330
"29385",619,387
"294671",619,179
"1279031",618,154
"2004710",617,175
"1905730",616,339
"39441",616,180
"1817965",409,615
"1632864",489,614
"285729",614,400
"2836373",362,612
"2864218",612,86
"1581",166,610
"2321111",609,194
"34003",173,609
"972",609,331
"81462",152,608
"83627",451,607
"57043",606,436
"1286",605,351
"3047875",605,363
"504468",604,605
"1982626",603,233
"246",603,274
"580165",603,213
"971",572,603
"1870884",602,304
"629",595,602
"683124",602,274
"949",120,602
"1399",601,314
"62322",601,189
"69578",601,458
"2151",600,291
"67294",36,600
"2169400",412,599
"3062449",513,599
"29348",597,286
"324079",597,280
"199136",403,596
"1583098",595,315
"1784",595,408
"208226",595,343
"2202825",249,595
"506591",212,594
"2364647",554,593
"2782674",593,242
"38875",592,210
"1524882",591,72
"656178",346,591
"963",445,591
"827",590,290
"2487118",201,589
"317577",296,589
"1793722",391,588
"29519",587,392
"585",587,238
"1534349",586,256
"1889",367,586
"2219225",516,586
"1281",585,424
"1416803",358,585
"2811091",585,166
"1560345",379,584
"85006",584,318
"1178825",583,202
"2749995",583,348
"371036",583,345
"471",581,217
"118060",557,580
"216937",579,149
"2920380",579,485
"2926907",579,268
"3024245",264,579
"155892",128,578
"2804617",302,577
"668",577,462
"89184",272,577
"1357",576,391
"1382466",576,328
"1803846",576,315
"2203204",101,576
"61648",462,575
"2599308",574,232
"1637",360,573
"1798205",517,573
"544718",573,150
"1714860",572,339
"2895568",110,572
"120107",12,571
"3051121",570,270
"653931",437,570
"1714848",569,189
"2748319",569,254
"2956784",569,271
"69965",568,259
"1380604",549,567
"3023090",567,258
"2138",565,126
"644",452,565
"1398",564,191
"216935",564,154
"2795738",564,340
"3016339",564,292
"871742",564,550
"1457365",223,563
"2207",563,253
"3045146",563,248
"34105",563,333
"76259",461,563
"1499987",562,235
"2108365",562,226
"2764326",562,179
"38986",562,136
"1882831",54,561
"2500547",561,198
"2686077",561,308
"441",490,561
"84159",319,561
"758793",303,560
"158849",559,288
"1942464",559,264
"2126984",559,123
"2986831",559,300
"2095",558,172
"2745518",542,558
"2212991",557,314
"2738",557,422
"2890321",243,557
"3017783",400,557
"1170562",336,556
"147802",496,556
"2956836",111,556
"3019544",380,555
"218208",143,554
"2878151",518,554
"3034146",554,279
"2978473",101,553
"34004",553,421
"1763",243,552
"2991074",320,552
"453842",50,552
"2745197",551,363
"61645",551,274
"1915078",550,454
"756892",550,237
"1355374",549,310
"2781243",549,286
"1549949",399,548
"1970738",548,346
"2303331",360,548
"2686361",548,256
"3016006",355,548
"69",548,290
"33075",178,545
"60136",248,544
"2358479",543,222
"2518343",440,543
"2675754",543,352
"2774137",543,508
"80864",299,543
"1471",542,322
"2745947",202,542
"2893885",542,262
"561",542,510
"53409",196,541
"29360",328,540
"2493093",198,539
"45972",539,296
"639200",323,539
"2010972",352,538
"2808900",538,228
"1538644",536,366
"556287",536,259
"1848766",294,535
"2828656",158,535
"83816",535,179
"2724135",534,183
"2840468",95,534
"2866592",280,533
"2907545",369,533
"2918453",533,170
"316",419,533
"104",532,395
"1178",532,206
"189381",492,532
"28895",532,251
"202907",349,531
"2341117",466,531
"3041435",317,530
"1090615",11,529
"1758194",223,529
"2986824",528,364
"2986949",528,439
"155863",527,124
"2898187",527,229
"1867715",216,526
"31909",526,163
"1816218",525,493
"2942449",395,525
"663364",525,204
"2864201",524,269
"2923272",438,523
"1325095",375,522
"1313",521,407
"83451",349,521
"85007",521,472
"2681547",401,520
"927083",323,520
"1267021",519,165
"708113",371,518
"2653681",517,380
"2898076",516,137
"47877",269,516
"983544",516,159
"2145",515,244
"2487072",515,270
"2785627",266,515
"280473",322,515
"108981",514,137
"1762",412,514
"2694929",424,514
"654",399,514
"28200",513,463
"2986835",513,336
"45656",513,318
"1306519",511,274
"1970093",510,424
"198",510,266
"2906456",310,510
"416169",510,299
"715475",374,510
"2681310",127,509
"2764711",509,306
"128785",153,508
"2011015",165,508
"2663022",508,275
"76831",508,348
"109328",507,165
"2592345",291,506
"3073562",478,506
"46679",506,468
"515256",506,204
"1721091",505,165
"1736226",505,116
"195105",223,505
"2830997",273,505
"434009",212,505
"248906",504,254
"2751",504,312
"1184387",125,503
"216934",503,177
"33970",503,194
"2498451",312,502
"2586965",502,61
"2954086",502,489
"445709",502,474
"1096",501,89
"29521",501,119
"630",501,180
"158822",295,500
"2895796",231,500
"107327",499,152
"2928472",487,499
"2571746",285,498
"54571",203,498
"71237",498,214
"88688",285,498
"1573718",155,497
"255507",497,214
"3003257",497,412
"2840469",294,496
"3025315",496,194
"1826872",495,229
"2033869",8,495
"204447",151,495
"237610",398,495
"2944914",495,352
"708131",159,495
"1243",494,398
"1303590",494,105
"166485",494,340
"259",413,494
"750",494,171
"1470540",493,97
"437505",493,334
"61647",238,493
"628",493,428
"1871047",492,223
"2495594",101,492
"2893883",361,492
"3018446",215,492
"669",385,492
"1296669",153,491
