"","SRR17408286"
"3031131",1602
"47420",1602
"563996",1602
"2933290",1601
"2500546",1600
"3064287",1598
"1572644",1597
"1746199",1594
"463040",1593
"1903186",1592
"46913",1592
"370764",1591
"1447062",1589
"2782674",1589
"206389",1588
"2719023",1587
"2991075",1586
"436397",1586
"2937788",1582
"515361",1580
"2885079",1576
"2978974",1576
"356837",1574
"3016096",1573
"2592654",1568
"38310",1568
"1749",1565
"117567",1564
"3014995",1564
"67305",1564
"2911538",1560
"1270",1559
"2744518",1558
"463014",1556
"555315",1556
"1555112",1555
"2759943",1554
"2897334",1554
"2973512",1554
"2714942",1553
"399497",1553
"547",1553
"382",1552
"2905871",1551
"1882831",1550
"169427",1549
"2831662",1548
"359",1545
"1446794",1544
"55395",1543
"41899",1541
"2728021",1537
"29314",1535
"2865839",1533
