"","SRR14320323","SRR14320322","SRR14320321"
"3056937",3101,2871,4431
"53359",4120,4430,2454
"85643",4415,4056,1822
"75",2836,3424,4414
"3015177",3308,4338,4408
"1848900",3669,4405,2956
"3016000",2882,4034,4403
"1690220",3759,4397,2585
"2080742",4124,4397,3015
"2653851",3931,4393,2471
"3012344",3779,4380,4059
"2602015",4374,4215,2358
"2903960",3010,3986,4374
"941907",3591,4354,3688
"2806348",3439,4349,3020
"1296669",3180,4348,2792
"206389",4347,4017,2047
"2735134",3759,4347,4188
"204441",4332,4200,2388
"402297",3715,4332,3060
"1766",3331,3182,4329
"270351",4142,4327,3138
"2518343",2484,4320,3789
"186189",4307,4126,3687
"2045208",4097,4307,2888
"158836",4303,733,2661
"2694930",3889,4300,2078
"35",3045,4298,2337
"2653203",3838,4297,4222
"305",4293,3965,2561
"871742",3497,4281,3157
"173480",3714,4280,1292
"2685869",3734,4268,3087
"2591108",3963,4262,2491
"1814",3201,4251,2001
"1396",2504,2974,4250
"76116",4250,3693,1843
"37919",4054,4246,2632
"296591",3733,4240,2589
"1663",4235,3690,2389
"2704467",3414,4224,3645
"83614",4224,3728,2667
"192",3919,4220,3123
"119045",3810,4218,3007
"3073064",3814,4217,3000
"1865",3142,4213,2431
"1437009",3415,4209,4153
"319947",4204,4162,2847
"2775420",3751,4201,3458
"2937801",3819,4200,2112
"106590",4194,4176,2679
"33057",4190,4022,1887
"2202249",3906,4184,2298
"2872652",3533,4181,3713
"506",4095,4177,2599
"2599297",2678,3419,4154
"68895",4075,4154,2767
"1560345",3460,4049,4153
"80867",3591,4136,2953
"551760",4135,3552,1593
"2944810",4134,3920,1663
"299767",403,200,4128
"1675686",4126,3910,1833
"104336",2958,3747,4125
"67304",3884,4113,2767
"2711215",3084,3579,4111
"659012",3795,4090,2831
"116188",3589,4088,2833
"193462",3700,4087,2453
"68270",3738,4081,2321
"2978473",3403,4077,2718
"1521768",3593,4065,2881
"1868589",3299,3790,4059
"2741720",3283,4058,2415
"1541170",3671,4053,3677
"1855352",3814,4041,2435
"3069708",4037,3139,2495
"2509459",4035,3658,3312
"2082188",2239,2506,4029
"743009",1901,2123,4029
"2867005",2792,3439,4026
"1297742",2758,4024,2089
"2842453",3033,4019,1947
"2903901",3121,4019,3904
"190148",3413,4016,3454
"2509614",3545,4016,2396
"29539",3718,4015,2045
"2995223",3127,4011,1893
"114616",3675,4009,2708
"2942996",2918,4006,3445
"2745198",3989,1998,689
"39691",2985,3479,3985
"2580515",943,1671,3983
"3003265",3112,3775,3979
"415229",3977,3642,2963
"2830997",3976,3032,1717
"2750812",3762,3975,2227
"2851648",2233,3974,2417
"2082387",3968,3638,3107
"2528964",3964,3907,3134
"2697032",3669,3953,2749
"2797636",3614,3942,2724
"1969",3669,3934,2581
"3003271",3927,3382,3314
"2004797",3757,3924,1593
"356302",3921,3887,2237
"2698679",3092,3920,3547
"135719",2693,3315,3916
"304895",3729,3911,2259
"262209",3592,3907,3172
"546871",3489,3906,2432
"319939",3904,3428,1979
"556533",3902,2514,917
"2865832",3246,3901,2001
"450367",3898,1791,720
"85413",3181,3702,3898
"3039386",3592,3896,2478
"332055",2612,3187,3895
"46913",3020,3889,2811
"2954083",3888,517,797
"76892",2706,3343,3883
"1387353",3670,3881,2110
"1632864",3472,3879,2551
"2937800",3557,3878,1798
"1871049",3877,3752,3022
"2819978",3867,3708,2633
"1522432",3461,3863,3002
"28447",3655,3855,2414
"258505",2760,3094,3854
"33886",3711,3854,2598
"2917991",2963,3852,2567
"587753",3850,3564,2429
"1817965",3593,3838,3361
"2877940",2255,3838,1839
"2233999",3273,3837,2931
"659352",3627,3837,2439
"1286181",2787,3161,3833
"692370",3102,3833,3669
"1926868",3115,3832,2758
"83656",3573,3831,2275
"1542737",3365,3830,2527
"76115",3826,3251,1418
"39960",3098,3603,3817
"2562284",3703,3814,2803
"2830998",3810,3023,1827
"1636152",3603,3800,2082
"1725411",3644,3798,2530
"2709380",3793,3708,3454
"2758442",3557,3792,2617
"2744521",3791,3271,2505
"3074855",3791,3590,2644
"338584",3495,3781,2105
"1791",2421,2868,3758
"2854170",3659,3756,2321
"1411117",3296,3746,2091
"2897342",3316,3738,1266
"1616117",3608,3737,2156
"2315862",2516,3737,2124
"2928472",3679,3734,2239
"1796921",2996,3727,2085
"455432",3504,3721,2411
"225991",2553,3716,2153
"2711156",3073,3715,3665
"292",3714,3650,2313
"442121",3409,3707,3023
"570",2790,2514,3707
"408",3480,3697,3586
"563996",3032,3205,3692
"2823693",2905,3451,3687
"304378",2198,2641,3685
"2653852",3482,3673,1771
"1940610",3518,3661,2647
"2045200",1291,1588,3661
"33914",3109,3661,1776
"39",2403,3647,1775
"43263",3646,3339,2149
"68246",3360,3646,2205
"524884",3174,3640,1749
"1707785",3129,3631,2449
"424188",2992,3627,2924
"1179673",3569,3626,2873
"2768069",3404,3624,1999
"858423",3320,3622,2853
"2884874",3612,3044,2163
"2937787",2945,3513,3610
"2202828",3314,3279,3606
"67282",3604,2860,1751
"2952477",2437,2239,3597
"2585717",3426,3594,2424
"2596913",2841,3253,3594
"1325100",3199,3591,2740
"2575440",2873,3587,2422
"1413221",3421,3585,2996
"2997354",2852,3301,3582
"3052846",3010,3581,2201
"1813880",3245,3578,2320
"2867410",3486,3577,2154
"96344",3566,3577,2377
"17",2899,3576,3484
"47885",3573,2772,1922
"2548456",3409,3569,2614
"2590772",1509,1868,3569
"1783515",2399,3563,2396
"2675754",3388,3563,2304
"84757",3508,3558,2515
"1357916",2581,3406,3555
"273677",3070,3551,3191
"212767",2960,3026,3550
"29580",3368,3549,2418
"2136173",3307,3543,2222
"1750527",3337,3538,3140
"555315",3319,3520,2315
"82380",2630,3519,2673
"83291",3067,3519,2064
"2976241",3009,3517,2678
"1183401",2342,2864,3513
"1608957",3204,3508,1799
"2897332",3299,3508,2621
"1521117",2507,3507,1878
"44249",3501,3402,1842
"2321403",3055,3499,1636
"2972479",3490,2867,1777
"1714373",2884,3481,2827
"1670800",3463,3480,2454
"2981136",2640,3461,1942
"593909",3400,3455,2401
"1653478",3451,2378,3423
"3031131",2978,3451,2765
"2849093",2594,2729,3450
"34071",3080,3447,2393
"56448",3442,3001,2428
"2021",3439,2255,1216
"1843368",2212,2698,3438
"2725666",3437,3236,2400
"2338327",2722,3424,3429
"73044",3128,3423,2022
"1867719",3420,3212,2714
"267128",3025,3379,3420
"2768066",3149,3419,3165
"2654191",3335,3413,2534
"563835",2003,3411,1643
"2601898",2735,3409,1894
"2781734",3180,3407,2652
"715471",2772,3403,1645
"2897334",1860,2259,3402
"120107",2466,2875,3397
"46429",2432,2660,3393
"227318",3155,3390,2000
"1772",3122,3387,3259
"1379270",3084,3386,1098
"2593653",3384,3204,1831
"1736306",3155,3380,2532
"53457",2977,3380,2183
"69666",2686,3318,3379
"1030157",2761,3374,3216
"359",2945,3374,2563
"546874",3021,3374,1971
"67385",3055,3374,1934
"83455",2360,3372,1813
"930166",1044,894,3371
"53462",2993,3089,3368
"216465",2780,3367,2289
"3015154",3118,3367,2057
"504468",3327,3365,2094
"1523415",2734,3254,3364
"2819238",3255,3362,2174
"2872646",2350,2770,3361
"1771",2860,3305,3356
"2886352",721,3351,1761
"2017685",3349,2733,1656
"3018036",2897,3316,3346
"2708082",3042,3344,2040
"33910",2830,3344,2029
"141948",3343,2784,1944
"2509458",2864,3340,2602
"2614442",3338,2215,760
"2979863",1887,2452,3338
"2135430",3325,3333,2314
"358220",1952,3333,2724
"2795690",3214,3332,2381
"2871820",1590,3328,2396
"2482763",2602,3163,3324
"2571115",3319,3111,2520
"117157",3178,3318,1842
"2898149",2853,3317,2433
"2954082",3317,532,729
"76862",3315,3014,2400
"1144307",2010,2414,3312
"2175864",3187,3310,2008
"2728835",2417,3294,2792
"37329",3292,3261,2188
"412690",3237,3288,2215
"2078691",3026,3282,1968
"1063",3150,3277,2170
"2056258",2816,3277,2563
"1141883",3042,3275,2137
"2528024",3134,3274,1935
"2919917",1500,1856,3274
"2055",3158,2968,3269
"2008794",3263,3056,1329
"155892",2669,3012,3260
"1133546",3244,3257,2316
"151783",3106,3255,2055
"2650471",3222,3254,1978
"2070761",2651,3246,2285
"2496836",3192,3241,2789
"3025670",2237,2684,3241
"3039160",1326,1516,3237
"535",3226,3235,2013
"3068633",3070,3231,2456
"237610",3230,2528,1691
"1852",3228,2348,1346
"2929802",2887,3228,2358
"2733867",2208,2525,3223
"3009077",3201,3221,2184
"288000",2891,3220,2319
"2730915",3120,3219,2510
"1315974",2405,2624,3218
"2488560",3218,3194,1956
"2566013",3098,3218,2372
"81682",3218,2535,2359
"2592652",3007,3217,2261
"3075432",3035,3216,2051
"2486273",2599,3215,3125
"1835",2636,3212,1446
"2527983",2773,3206,2245
"2728020",2928,3197,2265
"1045776",3040,3188,2423
"31988",3181,2859,2279
"2816950",2678,3180,1908
"2906072",3180,3104,2265
"722472",2934,3173,2375
"1535208",2896,3172,1800
"2219696",2623,3036,3168
"375",2776,3167,2493
"2003315",2452,3096,3162
"47858",2727,3162,1706
"3018929",3161,2564,1490
"2303332",258,932,3159
"2041",3018,3156,2121
"2900152",2808,3147,1646
"573",1924,2529,3147
"237",2101,3143,2319
"53461",2887,3139,1649
"2976533",2534,2969,3137
"114615",2824,3131,2182
"115808",2873,3131,2329
"1515612",2125,2752,3127
"2880933",3089,3125,1809
"2067415",2399,2977,3116
"2970925",2303,2607,3116
"374606",3112,2849,2348
"2904790",3110,3091,2191
"1775411",3108,3095,1920
"47857",2797,3106,1640
"2775404",3101,2566,1995
"344163",2356,3099,2948
"191302",2467,3098,2284
"2694929",3098,2914,1545
"390989",2959,3098,1811
"1549858",2794,3058,3097
"82541",2987,3094,1932
"396",2748,3091,2648
"2651334",2589,3090,2289
"283811",3088,2983,1665
"3064278",2806,3086,2131
"105219",2955,3080,1923
"34",2297,3075,1680
"239935",3074,482,347
"1702325",2992,3071,2214
"1921510",2314,3067,2909
"2480810",3063,2962,2287
"2202825",2706,3062,2128
"2016596",3057,2913,1505
"2024580",2767,3054,1661
"405",3053,2541,2309
"1696",3040,3048,1835
"416169",2992,3048,1908
"2979861",1823,2271,3044
"152142",2524,2815,3038
"1914525",2333,2825,3034
"2710756",2444,3027,1502
"1573",2921,3025,1884
"204525",3016,3021,2861
"2914159",2489,3015,1594
"129921",2541,3013,1967
"1927",2816,2993,1782
