"","SRR4140278","SRR4140277"
"2675222",1821,3634
"659352",3208,3632
"642780",3491,3631
"2518343",770,3630
"1503054",921,3629
"2973088",158,3629
"2903960",1579,3624
"1407071",149,3621
"2842456",1330,3618
"2051553",2440,3614
"589382",2692,3613
"2653852",3608,3431
"2483798",3607,2899
"2072590",1549,3603
"2904252",2728,3603
"46680",823,3603
"489632",294,3603
"2596949",3601,1040
"1437009",1902,3599
"2981138",2358,3594
"3034358",2569,3594
"67287",3585,2104
"307121",1858,3577
"582",3575,3296
"2984843",2063,3570
"675281",1828,3567
"2735134",1953,3559
"47857",1891,3557
"34070",1367,3555
"160826",3553,3016
"1855352",2758,3553
"2745196",2609,3550
"2738142",794,3537
"2891570",3534,2790
"419476",3534,2844
"1907",3531,2060
"1609977",1644,3527
"1868589",1805,3525
"69277",1774,3524
"2991075",1552,3518
"488732",953,3514
"921",2791,3513
"2760713",579,3512
"2895486",182,3512
"2006110",1412,3510
"2202249",2273,3509
"3012344",1836,3506
"161493",1724,3504
"2082188",2940,3502
"204038",2610,3498
"2750812",2296,3494
"2792008",2417,3494
"1296669",1282,3492
"2584466",1734,3490
"266062",812,3489
"2777957",11,3487
"1198456",370,3481
"103855",881,3476
"68270",3140,3476
"56730",3469,2612
"1838286",1590,3467
"1746199",1795,3462
"1541170",1726,3457
"3074822",3457,1135
"2782169",2482,3456
"135719",1677,3449
"2136182",181,3444
"359110",271,3439
"257708",2412,3438
"321984",1505,3434
"1847",2561,3431
"2547399",1872,3430
"2653200",3430,3189
"2904253",1452,3424
"2653857",2225,3419
"2878388",2757,3417
"1379270",1991,3413
"211114",2008,3411
"248026",1705,3411
"1690815",2489,3410
"2796366",231,3409
"2060066",3407,2350
"2865673",2796,3404
"2609668",129,3400
"2816950",1272,3399
"2991051",380,3394
"1544730",3022,3392
"54736",2330,3389
"33910",2597,3383
"546874",2157,3381
"1632864",1408,3378
"3044187",3378,3050
"323415",1449,3378
"2774137",987,3369
"1549949",1886,3368
"2502779",1526,3364
"227318",1948,3360
"282217",1414,3357
"556",1929,3349
"94624",768,3348
"3031131",3346,2323
"3036374",3341,2728
"3019098",274,3340
"2806346",3338,2716
"2768161",2856,3332
