"","SRR4142418","SRR4141180"
"151783",4833,10905
"1800",2880,10888
"2981135",7157,10887
"665913",10819,615
"68212",4879,10804
"40566",3380,10798
"2803858",2573,10793
"2735134",3204,10782
"60550",10772,5603
"2819238",2779,10771
"1911175",3609,10760
"2705012",2802,10753
"3012344",3187,10750
"745310",3786,10734
"41",4037,10726
"2710756",3300,10722
"2981134",10714,10627
"3016093",3223,10705
"2583243",3291,10702
"2709380",6461,10694
"2894788",10694,41
"1888",3296,10688
"84757",3010,10685
"152142",3262,10683
"3070683",10674,3060
"1988",3340,10667
"2184053",4878,10662
"2708082",2596,10661
"398",1447,10643
"2596828",2098,10630
"1915",5969,10624
"318424",2968,10616
"192",3647,10587
"3062779",3758,10587
"2589797",2454,10582
"2761578",2441,10579
"2903629",3135,10578
"1795",2994,10562
"2136401",3785,10552
"470076",1923,10530
"1535208",2622,10525
"2789208",10481,156
"1552759",2860,10474
"39692",2736,10463
"1249101",3194,10449
"66880",7045,10442
"1679497",3538,10431
"404589",3831,10427
"3026433",10418,866
"2768068",3665,10409
"2662361",2418,10366
"83681",3430,10363
"3074430",10355,7816
"3015149",3117,10341
"632569",3116,10339
"2717324",3299,10333
"36813",3198,10319
"3043734",3314,10296
"627624",2597,10296
"3075824",3750,10292
"1813880",2087,10270
"2045452",2301,10253
"2751189",4816,10253
"2499145",2741,10241
"2518371",2401,10241
"1488356",3428,10218
"155892",3449,10210
"2730915",6065,10177
"2923272",3154,10173
"3057122",5288,10169
"2202148",3641,10161
"129921",5290,10158
"2202826",2899,10158
"2992140",3221,10150
"47763",3354,10148
"2911537",3380,10141
"1541170",3266,10134
"335406",3818,10110
"391953",3254,10093
"3004093",5467,10091
"285578",3132,10076
"1890",4274,10070
"2777475",3151,10049
"2720714",3215,10045
"2201999",2712,10041
"101571",7498,10038
"1325115",3119,10036
"2917725",2534,10033
"2819978",2382,10029
"412690",2573,10015
"3016092",2787,10014
"3018036",2930,10010
"1197460",3986,10001
"1642299",3699,9995
"2714942",1966,9989
"1353260",2997,9981
"2202827",3040,9977
"2763006",3241,9970
"48736",3478,9961
"665914",9953,846
"83453",2672,9930
"46351",2868,9928
"1437009",4038,9918
"1333528",3611,9901
"3061626",2919,9895
"2721173",9282,9883
"1038928",3097,9882
"1404741",2115,9860
"1560345",2859,9850
"2675754",2689,9850
"198119",9847,645
"68214",4502,9840
"2038343",2126,9838
"1690220",2270,9827
"149698",2537,9820
"2282738",3205,9799
"161492",3668,9774
"283811",2946,9769
"2781978",2082,9756
"51201",4626,9753
"1696",2711,9750
"173860",4237,9739
"2918171",3397,9739
"2908642",2515,9727
"1827580",6201,9720
"2203204",4665,9709
"2991729",2064,9708
"1914",2734,9706
"3030210",3230,9703
"1842539",4203,9691
"3023370",2512,9679
"710111",2635,9668
"29303",2787,9666
"2942449",2935,9647
"2732487",4164,9633
"1523415",2649,9629
"1813468",3028,9629
"482564",4585,9621
"2672569",1816,9598
"2976822",3169,9592
"2949637",6643,9590
"517",3364,9564
"1210884",3169,9543
"85693",2536,9531
"2066",2809,9528
"66425",4010,9524
"2486272",2400,9510
"1868589",4078,9484
"2654191",2609,9483
"334852",1932,9470
"2758442",2444,9467
"1901",3241,9462
"33903",4192,9454
"455344",2996,9446
"32",3528,9442
"2014920",4675,9430
"3061628",4897,9429
"2685869",2356,9425
"1325114",2298,9416
"2833628",3334,9412
"2795690",4185,9407
"2594473",1978,9401
"1522432",2308,9389
"2126346",2583,9383
"1892404",9380,619
"2599640",3960,9372
"66871",3340,9360
"943830",2139,9335
"1226757",3196,9329
"2508722",3209,9322
"2964669",3113,9313
"2825844",8248,9301
"1549858",2466,9296
"613",6227,9294
"457921",3148,9276
"2716812",2366,9275
"2721244",3949,9270
"1549949",3108,9263
"3047873",9255,1904
"1791",2565,9242
"2775403",3015,9238
"216929",2467,9232
"2704467",2448,9199
"3053466",3584,9178
"319706",2009,9178
"1841249",3132,9161
"262209",2349,9160
"1960",2510,9158
"65496",2889,9154
"3004092",2619,9153
"2908837",2615,9137
"2884264",2158,9134
"2602015",3816,9133
"42255",1976,9131
"2748629",3415,9123
"2742136",3448,9115
"3015163",2303,9112
"2991972",3838,9103
"2789216",3700,9102
"135614",3815,9090
"1275",3382,9088
"287",3210,9088
"2714844",4619,9080
"2486855",866,9073
"284581",9067,830
"2708539",2836,9066
"53457",2223,9064
"3015156",2685,9047
