"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700"
"Methyloceanibacter_caenitepidi","1857","3824","2594","294","2417","2947","792","4943"
"Aquabacter_sp._L1I39","3076","3706","3308","296","3732","3876","785","5367"
"Methyloligella_sp._GL2","2835","5366","3593","357","3306","4035","1030","7011"
"Caenibius_sp._WL","1406","1294","1275","130","1273","1360","258","1633"
"Caenibius_tardaugens","1523","1362","1328","104","1375","1576","268","1852"
"Rhodomicrobium_vannielii","2263","3131","2421","227","2854","2809","566","4278"
"Candidatus_Filomicrobium_marinum","1179","1802","941","86","1131","1172","291","2158"
"Bosea_sp._ANAM02","19707","10233","5359","535","6886","6619","1854","11126"
"Bosea_sp._F3-2","10546","9888","6183","616","7968","7888","1839","11099"
"Bosea_sp._Tri-49","9859","10461","6687","532","8117","7523","1691","10936"
"Bosea_sp._AS-1","8072","7244","4880","619","8846","6269","1349","8679"
"Bosea_sp._RAC05","6401","7868","6128","529","6971","7063","1468","10368"
"Bosea_sp._PAMC_26642","4615","5260","4122","348","4963","4869","1039","7081"
