"Genus" "Species"
"818" "Salegentibacter" "salegens"
"822" "Oceanobacillus" "iheyensis"
"832" "Zobellia" "galactanivorans"
"842" "Euzebyella" "marina"
"852" "Kaistella" "daneshvariae"
"862" "Kaistella" "flava_(ex_Peng_et_al._2021)"
"872" "Brevibacillus" "humidisoli"
"882" "Polaribacter" "vadi"
"892" "Limosilactobacillus" "reuteri"
"902" "Leadbetterella" "byssophila"
"91" "Candidatus_Uabimicrobium" "amorphum"
"92" "Alkalitalea" "saponilacus"
"93" "Parabacteroides" "s"
"94" "Maribacter" "sp._Hal144"
"95" "Kaistella" "polysaccharea"
"96" "Marivirga" "harenae"
"97" "Maribacter" "sp._HTCC2170"
"98" "Proteus" "s"
"99" "Polaribacter" "sp._SA4-10"
"100" "Methylotuvimicrobium" "alcaliphilum"
"101" "Winogradskyella" "sp._PC-19"
"102" "Leeuwenhoekiella" "palythoae"
"103" "Bacteroides" "faecium"
"104" "Capnocytophaga" "stomatis"
"105" "Flammeovirga" "pectinis"
"106" "Aequoribacter" "fuscus"
"107" "Cellvibrio" "s"
"108" "Nonlabens" "s"
"109" "Formosa" "sp._Hel3_A1_48"
"110" "Bacteroides" "intestinalis"
"111" "Caldalkalibacillus" "thermarum"
"112" "Acinetobacter" "septicus"
"1102" "Stenotrophomonas" "geniculata"
"2102" "Pasteurella" "multocida"
"3102" "Flavobacterium" "johnsoniae"
"495" "Flavobacterium" "sp._YJ01"
"513" "Nostoc" "sp._TCL240-02"
"612" "Chryseobacterium" "sp._G0201"
"712" "Stenotrophomonas" "sp._59"
"812" "Flavobacterium" "aquiphilum"
"912" "Flavobacterium" "luteolum"
"1012" "Flavobacterium" "sp._F-340"
"1112" "Chryseobacterium" "sp._MEBOG07"
"1212" "Pseudomonas" "sp._St290"
"1312" "Herminiimonas" "arsenitoxidans"
"1412" "Lysobacter" "sp._H23M47"
"1512" "Flavobacterium" "sp._N1994"
"1612" "Flavobacterium" "cerinum"
"1712" "Flavobacterium" "sp._N2270"
"1812" "_" "s"
"1912" "Pseudomonas" "mandelii"
"2012" "Draconibacterium" "halophilum"
"2112" "Mesorhizobium" "sp._C432A"
"2212" "Flavobacterium" "litorale"
"2312" "Echinicola" "soli"
"2412" "Ewingella" "americana"
"2512" "Chryseobacterium" "sp._POL2"
"2612" "Neisseria" "subflava"
"2712" "Bacillus" "weihaiensis"
"2812" "Pseudomonas" "sp._SG20052"
"2912" "Mesobacillus" "s"
"3012" "Pseudomonas" "sp._IAC-BECa141"
"3112" "Sutcliffiella" "s"
"3212" "Metabacillus" "sp._B2-18"
"3312" "Alkalihalobacillus" "sp._LMS39"
