"","SRR25582257","SRR25582262","SRR25582261","SRR25582258","SRR25582263","SRR25582255","SRR25582259","SRR25582254","SRR25582260","SRR25582256","SRR8921820","SRR8921819","SRR8921825","SRR8921818","SRR8921821"
"2062",10798,14004,13510,12642,12407,13744,11882,11442,5788,1272,203,166,345,236,172
"28068",2441,13990,12971,11677,8928,7040,8819,4836,4125,889,139,106,186,122,118
"204455",5469,13101,13987,12809,10328,8724,10139,6849,6647,1004,394,388,398,354,370
"231454",13982,1164,1244,1307,834,11085,822,6834,415,940,28,35,19,36,34
"41275",4538,13261,13910,13332,11776,10400,9448,9057,5103,1168,365,395,345,331,328
"135621",5330,12568,13900,12302,9474,9446,9040,6413,5015,1277,269,259,286,318,233
"94",3547,11643,13893,13012,9406,5959,9223,4469,4719,885,309,232,336,283,252
"2879617",3233,13866,9201,3621,7601,11424,9826,9793,2218,141,16,11,42,24,13
"165697",6223,13828,12866,12405,10144,9404,8204,7579,4335,853,219,224,244,230,175
"2911537",13081,3585,3954,3861,2791,13751,2524,8549,1311,1990,86,66,63,60,59
"2714939",7347,10523,5871,5283,13280,13736,6370,11737,2762,344,75,58,121,67,43
"404589",1973,11528,13629,11179,10079,5568,13728,4213,4491,708,165,142,353,208,147
"993689",352,179,235,178,134,13714,131,8572,80,1978,2,1,5,3,4
"1542737",13700,3783,3177,3088,3698,5703,2986,4665,1379,253,54,41,94,38,30
"349751",526,1101,906,950,1018,686,743,515,13688,86,14,11,18,16,11
"2954771",6382,11341,11808,12340,8912,6755,13678,5860,5538,731,1385,1380,1557,1474,1050
"1798223",13625,2443,2175,2235,1996,7050,1945,5791,963,183,35,42,61,38,27
"2807512",1594,10878,13460,12531,10647,6419,8511,4806,4243,591,262,207,308,248,257
"1813880",13436,4803,3430,3290,5200,10843,3549,9180,2679,227,31,32,112,61,32
"2849779",3182,13425,10169,9661,10588,12217,9874,9685,9235,866,239,293,319,226,179
"940615",13412,2305,3189,2744,1916,7301,2056,6485,932,374,63,61,91,64,85
"445709",4951,2987,3494,3228,2334,13366,2155,9014,1108,499,47,48,61,59,67
"165695",7571,12841,13323,12370,9656,12198,8160,10082,4429,1101,309,299,290,340,268
"2789776",2773,13274,10337,9569,10341,11915,9663,8993,7291,871,212,269,324,220,146
"858422",3751,10801,9467,9284,7908,5254,13258,4640,4510,655,604,546,991,725,503
"924",1189,4844,10247,13219,4618,3153,4586,2551,1996,371,61,48,56,42,61
"2903901",2759,11732,13211,11360,9504,6955,8271,5674,4444,839,213,212,357,207,181
"53399",13206,6471,7381,7013,4958,4695,6832,4165,3137,464,519,520,312,420,381
"2527974",5201,12781,13123,13145,10855,8611,12209,6838,4631,838,185,139,325,238,150
"2781978",13138,2808,2347,2435,2167,5382,2215,4280,1073,216,37,27,47,44,20
"2070",11572,12932,12577,11279,11560,13131,11180,10628,5414,1087,188,132,362,226,118
"161492",1704,10559,13098,11048,8990,4583,9682,3313,4425,769,165,153,258,215,162
"2884263",3057,13092,10491,10324,10719,10685,10475,8284,5234,827,284,266,357,298,179
